"datename","date2007","date2008","date2009","date2010","date2011","date2012","date2013","date2014","date2015"
"District of Columbia",932.219576260643,1052.22108481139,1073.35635844725,1080.60139541186,1055.0032878196,1094.52861608394,1056.90180743295,1174.2311725944,1085.64356141071
"Hawaii",463.453945886598,460.676078818857,434.014680835572,427.718881508527,448.982642191743,448.500367287765,449.684652869712,487.094941267672,532.270468838079
"Oregon",479.176263585628,554.82768319616,459.277192319571,507.87238677093,446.011628769637,405.904021188662,351.881222903084,306.305244608559,328.271916171276
"New York",NA,319.485311123812,317.851416655337,338.124364786331,324.972307309016,354.802200297945,393.224692337101,408.074228899717,445.801837370378
"Nevada",342.575172694832,335.477064840958,417.88041286841,414.471932056935,336.543182904048,308.435158921969,252.26081453114,302.366115264838,302.437522592875
"California",385.844980964267,376.634010119251,337.877995167622,330.743393991318,331.904209953763,315.581843677701,308.6156218358,293.749085353067,295.666210531366
"Washington",366.973888329998,339.761733456502,347.168516317088,339.28216566366,299.550256923811,297.276090384458,254.686423793907,261.101041657523,270.823562193817
"Colorado",301.350112055636,306.98179050715,312.246279446922,306.680289858632,295.264362786846,322.975131030479,185.045641050158,187.243678938709,182.403830682036
"Massachusetts",235.987547121067,225.54407104094,239.327237254418,253.555349886886,252.034356166712,262.865399577637,283.641957366508,314.383570160962,311.06398748856
"Alaska",243.150471937,241.952079964721,289.764420943916,260.916695727437,294.443214522913,261.614708408321,263.885159782057,242.047307766408,264.885595423817
"Florida",264.595290689322,273.075084160676,300.092215246632,305.312126489863,296.704624780685,285.086503368305,244.262831951489,208.695365603465,177.097914723852
"Vermont",166.160425884423,153.01188007333,194.504214525011,194.893160208568,182.547268413099,185.185776455225,231.850225392224,248.736771399898,243.274412898815
"Maine",199.302065020221,198.336146612009,183.689099434878,179.182718922644,184.226395945965,180.075371287874,226.975461664778,204.92296219675,178.436021809516
"Georgia",214.497609333,204.224861037255,214.206589209311,204.211601763904,213.762754426087,206.863750535788,169.8533222333,163.620719229975,134.999402830778
"Nebraska",199.188466361632,223.444579015835,206.972029272236,211.855029302878,192.576679224678,204.15167677547,168.244797517787,160.702715907763,144.711236743153
"Arizona",242.920177186103,202.474803739039,234.397316587802,213.959971336761,162.381128171642,172.463728750659,159.286987887885,155.97174110088,144.931250654468
"Louisiana",127.68830480644,125.263365025125,281.901872717607,274.634424001491,203.065056221547,168.82161125153,112.933769077023,99.0752830184621,87.3740345179891
"Maryland",171.092448742014,163.06978021045,205.770835880256,187.357182258545,174.669769245287,160.489174534948,138.223462106051,131.473558183911,139.684313451599
"Michigan",281.932758414365,282.443734224526,140.797791148569,132.20119649271,133.497506072187,127.360717168684,116.42839264983,123.301963452923,105.980543762023
"Montana",120.710575925903,146.884128428765,122.488900723565,163.025428938578,177.199407464425,182.359571688801,185.133704389384,170.534726538526,165.448632991561
"Tennessee",184.109555203797,157.147490489784,168.581833338642,161.659129862969,142.426053480803,146.015727129973,146.671941602154,143.789214632931,138.221010896628
"New Mexico",153.658995268934,151.502208465029,172.828650464374,168.301980732692,173.272781689768,155.651019382269,135.081389052609,131.666832089307,126.084535628593
"Wyoming",102.742281414361,140.406374561581,94.3149165908179,102.565737729311,182.821152301644,314.167879670063,163.428114780384,129.555847640954,136.152613771888
"New Jersey",199.891960900421,159.393677145987,151.175111266214,156.033458425892,159.867754299648,146.762332796576,134.742142025088,130.564981333157,112.725891333268
"Minnesota",141.820896649692,146.796658397992,147.093072674803,148.166893652548,140.142730556295,143.928669070558,151.534689987586,153.505737911446,137.46007446088
"Kentucky",191.053410342481,191.15872681757,139.840806661635,152.325114186337,138.144757573579,119.333729895518,119.245197226327,115.328386760056,102.551540171368
"North Dakota",97.9332390956882,94.2063839760302,117.554203437206,118.452848650171,87.9873228215477,97.9687155133746,285.92118027821,169.990811307497,172.407643009167
"Texas",170.328404877142,168.638925262745,151.223583951632,139.124128424235,143.877494380705,130.51873531439,111.751874688168,105.618879933554,86.1986302142836
"Missouri",106.919672809028,130.562272106246,117.472968894225,135.455796580817,149.552780784972,169.895516829564,141.982372411109,120.089178005903,106.547493027238
"North Carolina",132.349923238839,136.114823837631,138.762240386085,127.534541084356,133.623112570945,138.750085795445,123.590310714654,115.599121040257,106.394609791172
"New Hampshire",171.81434573357,153.823883462599,125.008929209229,119.540551132066,111.427669864618,113.213858405486,109.400753027989,103.614769924006,108.5969722112
"Idaho",119.087418608277,97.2689613017032,126.375202043902,149.332966684617,138.814014470998,123.300776832486,110.430094525929,128.700286150161,118.796565413643
"Connecticut",127.421491644539,131.177936477786,129.880056261615,120.568190166988,124.130895695226,117.12681168797,123.652829114459,123.791227346901,112.701990539382
"Rhode Island",129.05701836899,113.116715453767,152.321841738839,121.722072997164,101.724950943855,121.342502278141,131.45197443905,112.806152580275,105.178652236395
"Pennsylvania",129.647890875802,122.397939435704,119.6928233068,114.191189531415,118.444572318273,115.370260950839,118.011166863378,119.847422576947,120.453008290644
"Oklahoma",117.442801933174,105.823628936021,131.862405205158,139.084093078086,122.140396226086,131.807834026905,114.392336128697,108.02632223342,96.5654208355299
"Utah",119.223585600832,132.19152295875,142.506897221172,118.324177982047,111.133203618753,123.479568105091,112.856594293114,104.635832661459,100.970687124719
"West Virginia",131.789714165671,109.920547509013,90.5825648939581,122.099529453006,119.194715970475,129.829341754463,120.886029838342,108.884322442557,99.5050235124677
"South Carolina",129.880649779582,127.359583808682,98.7636111844656,96.4862440771942,108.99402983222,104.101779557969,137.233988564114,104.718004787582,109.351314278618
"Arkansas",135.943476431916,114.26465167711,99.2153913267937,94.511554567933,NA,142.871721604245,128.872732091778,98.9606769503528,85.9578457352149
"Delaware",123.477192214769,107.026219703149,127.846276731751,109.136455021222,113.997330149485,109.911797962924,102.231256612341,96.2639748367466,100.74698657623
"Illinois",122.485409035385,115.97475902786,110.260909240249,112.099687499246,108.918741440794,109.854885765754,104.153897954782,101.745130427756,102.465047614715
"Alabama",117.779701407286,115.283211066503,128.862538007031,126.348935803832,115.7649442587,108.158300230747,97.0700334724967,94.1108791639834,81.7044074485607
"Ohio",98.1081005987782,112.273691818455,110.287180001096,108.909581911634,112.858390350062,120.994308843925,106.504950816748,101.948797438785,96.2851348822823
"Wisconsin",101.261193099968,97.1167084761018,115.671062344309,111.296536995862,101.318453444302,105.248966981476,106.273829564565,105.131894950752,104.949684969012
"Virginia",127.004811874285,109.263320861824,113.001908726321,113.135322430062,108.694807887229,102.814786680066,92.2244228414194,84.2929562068074,83.5143247763657
"Iowa",91.6636380339055,111.56263711935,112.041698074805,98.7971917209658,102.23824773952,95.1688792564346,99.7340425531915,100.40260738046,98.6267481759173
"Indiana",116.191135206972,115.916376562226,108.703671363773,99.4054469624487,95.0766820447625,95.7284963039991,92.7780732051872,90.4987662703778,88.5692359751529
"South Dakota",73.9432437713353,73.1408764020247,91.4751653060101,89.5505200912901,100.207572829432,102.919733391163,129.426100535923,103.71450268603,120.679954663476
"Kansas",76.4043691282917,62.4329824321921,67.377093782362,70.7983422554169,87.4938195076722,92.9916387212472,93.034342903929,95.8826283623089,88.8845843289059
"Mississippi",47.4013916800747,66.9660388956238,94.884127381517,92.347076876669,77.4345458141524,80.8196512663867,80.3416677365516,74.3625317068005,66.2693624005082
